-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                              Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------  
                                     prefill_4096_eager         0.00%       0.000us         0.00%       0.000us       0.000us     603.332ms       100.90%     603.332ms     603.332ms           0 B           0 B           0 B           0 B             1                                                        []  
_ZN7cutlass7Kernel2I66cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     132.738ms        22.20%     132.738ms       2.329ms           0 B           0 B           0 B           0 B            57                                                        []  
                                               aten::mm         0.16%     988.800us         0.25%       1.514ms      27.039us     102.544ms        17.15%     102.544ms       1.831ms           0 B           0 B       3.83 GB       3.83 GB            56                              [[4096, 1536], [1536, 8960]]  
                                         aten::_softmax         0.03%     154.900us         0.06%     338.300us      12.082us      86.127ms        14.40%      86.127ms       3.076ms           0 B           0 B      21.00 GB      21.00 GB            28                             [[1, 12, 4096, 4096], [], []]  
_ZN2at6native43_GLOBAL__N__c5dc35cd_10_SoftMax_cu_0a...         0.00%       0.000us         0.00%       0.000us       0.000us      86.127ms        14.40%      86.127ms       3.076ms           0 B           0 B           0 B           0 B            28                                                        []  
_ZN2at6native29vectorized_elementwise_kernelILi4EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us      75.290ms        12.59%      75.290ms     865.405us           0 B           0 B           0 B           0 B            87                                                        []  
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us      75.000ms        12.54%      75.000ms     892.854us           0 B           0 B           0 B           0 B            84                                                        []  
                                              aten::add         0.03%     185.500us         0.06%     370.800us      13.243us      73.146ms        12.23%      73.146ms       2.612ms           0 B           0 B      10.50 GB      10.50 GB            28             [[1, 12, 4096, 4096], [1, 1, 4096, 4096], []]  
                                            aten::copy_         0.02%     128.400us         0.06%     342.400us      12.229us      72.421ms        12.11%      72.421ms       2.586ms           0 B           0 B           0 B           0 B            28            [[1, 12, 4096, 4096], [1, 12, 4096, 4096], []]  
                                               aten::mm         0.07%     440.800us         0.15%     889.700us      31.775us      51.636ms         8.64%      51.636ms       1.844ms           0 B           0 B     336.00 MB     336.00 MB            28                              [[4096, 8960], [8960, 1536]]  
_ZN7cutlass7Kernel2I66cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      51.614ms         8.63%      51.614ms       1.843ms           0 B           0 B           0 B           0 B            28                                                        []  
                                              aten::mul         0.04%     221.700us         2.45%      14.824ms     529.418us      48.601ms         8.13%      50.331ms       1.798ms           0 B           0 B      10.50 GB      10.50 GB            28                                 [[1, 12, 4096, 4096], []]  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      48.601ms         8.13%      48.601ms       1.736ms           0 B           0 B           0 B           0 B            28                                                        []  
                                              aten::bmm         0.07%     437.100us         0.12%     704.700us      25.168us      30.238ms         5.06%      30.238ms       1.080ms           0 B           0 B     336.00 MB     336.00 MB            28                       [[12, 4096, 4096], [12, 4096, 128]]  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      30.238ms         5.06%      30.238ms       1.080ms           0 B           0 B           0 B           0 B            28                                                        []  
                                               aten::mm         0.01%      33.400us         0.27%       1.636ms       1.636ms      30.194ms         5.05%      30.194ms      30.194ms           0 B           0 B       1.16 GB       1.16 GB             1                            [[4096, 1536], [1536, 151936]]  
                                              aten::bmm         0.09%     535.200us         0.14%     820.300us      29.296us      28.631ms         4.79%      28.631ms       1.023ms           0 B           0 B      10.50 GB      10.50 GB            28                        [[12, 4096, 128], [12, 128, 4096]]  
         ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us      28.631ms         4.79%      28.631ms       1.023ms           0 B           0 B           0 B           0 B            28                                                        []  
                                              aten::mul         0.03%     190.500us         0.07%     403.000us      14.393us      12.901ms         2.16%      12.901ms     460.740us           0 B           0 B       1.91 GB       1.91 GB            28                        [[1, 4096, 8960], [1, 4096, 8960]]  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      12.901ms         2.16%      12.901ms     460.740us           0 B           0 B           0 B           0 B            28                                                        []  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us      12.156ms         2.03%      12.156ms     144.710us           0 B           0 B           0 B           0 B            84                                                        []  
                                               aten::mm         0.08%     470.300us         0.13%     794.200us      28.364us       9.084ms         1.52%       9.084ms     324.422us           0 B           0 B     336.00 MB     336.00 MB            28                              [[4096, 1536], [1536, 1536]]  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.084ms         1.52%       9.084ms     324.422us           0 B           0 B           0 B           0 B            28                                                        []  
                                            aten::addmm         0.11%     694.100us         2.42%      14.680ms     524.279us       8.859ms         1.48%       9.176ms     327.722us           0 B           0 B     336.00 MB     336.00 MB            28              [[1536], [4096, 1536], [1536, 1536], [], []]  
                                             aten::silu         0.04%     227.500us         0.07%     434.600us      15.521us       8.272ms         1.38%       8.272ms     295.439us           0 B           0 B       1.91 GB       1.91 GB            28                                         [[1, 4096, 8960]]  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us       8.272ms         1.38%       8.272ms     295.439us           0 B           0 B           0 B           0 B            28                                                        []  
                                              aten::mul         0.06%     360.100us         0.12%     710.600us      12.467us       5.153ms         0.86%       5.153ms      90.400us           0 B           0 B       1.34 GB       1.34 GB            57                           [[1, 4096, 1536], [1, 4096, 1]]  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us       5.153ms         0.86%       5.153ms      90.400us           0 B           0 B           0 B           0 B            57                                                        []  
                                            aten::copy_         0.08%     498.900us         0.23%       1.416ms      12.420us       5.147ms         0.86%       5.147ms      45.152us           0 B           0 B           0 B           0 B           114                    [[1, 4096, 1536], [1, 4096, 1536], []]  
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us       4.798ms         0.80%       4.798ms      28.393us           0 B           0 B           0 B           0 B           169                                                        []  
                                              aten::pow         0.14%     853.400us         0.21%       1.291ms      22.653us       4.015ms         0.67%       4.015ms      70.435us           0 B           0 B       1.34 GB       1.34 GB            57                                     [[1, 4096, 1536], []]  
_ZN2at6native29vectorized_elementwise_kernelILi4EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.015ms         0.67%       4.015ms      70.435us           0 B           0 B           0 B           0 B            57                                                        []  
                                              aten::add         0.07%     398.000us         0.14%     827.300us      14.773us       3.655ms         0.61%       3.655ms      65.265us           0 B           0 B     672.00 MB     672.00 MB            56                    [[1, 4096, 1536], [1, 4096, 1536], []]  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us       3.655ms         0.61%       3.655ms      65.265us           0 B           0 B           0 B           0 B            56                                                        []  
                                            aten::addmm         0.19%       1.133ms        11.80%      71.501ms       1.277ms       3.369ms         0.56%       3.670ms      65.536us           0 B           0 B     112.00 MB     112.00 MB            56                [[256], [4096, 1536], [1536, 256], [], []]  
                                              aten::cat         0.13%     809.800us         2.70%      16.364ms     144.811us       2.754ms         0.46%       2.811ms      24.875us           0 B           0 B     506.00 MB     506.00 MB           113                                                  [[], []]  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us       2.747ms         0.46%       2.747ms      24.527us           0 B           0 B           0 B           0 B           112                                                        []  
                                              aten::mul         0.08%     498.900us         0.16%     994.400us      17.757us       2.622ms         0.44%       2.622ms      46.820us           0 B           0 B     672.00 MB     672.00 MB            56                   [[1, 12, 4096, 128], [1, 1, 4096, 128]]  
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us       2.532ms         0.42%       2.532ms      30.140us           0 B           0 B           0 B           0 B            84                                                        []  
                                    Command Buffer Full        21.01%     127.282ms        21.01%     127.282ms      14.142ms       2.431ms         0.41%       2.431ms     270.111us           0 B           0 B           0 B           0 B             9                                                        []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------  
Self CPU time total: 605.892ms
Self CUDA time total: 597.923ms
