-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                     prefill_4096_flash         0.00%       0.000us         0.00%       0.000us       0.000us     287.872ms       101.50%     287.872ms     287.872ms           0 B           0 B           0 B           0 B             1                                                                                []  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     133.619ms        47.11%     133.619ms       2.344ms           0 B           0 B           0 B           0 B            57                                                                                []  
                                               aten::mm         0.23%     668.450us         0.62%       1.778ms      31.752us     103.186ms        36.38%     110.555ms       1.974ms           0 B           0 B       3.83 GB       3.83 GB            56                                                      [[4096, 1536], [1536, 8960]]  
                                               aten::mm         0.10%     274.315us         0.24%     683.982us      24.428us      51.950ms        18.32%      51.950ms       1.855ms           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 8960], [8960, 1536]]  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      51.926ms        18.31%      51.926ms       1.854ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.03%      85.372us         1.59%       4.597ms       4.597ms      30.433ms        10.73%      30.433ms      30.433ms           0 B           0 B       1.16 GB       1.16 GB             1                                                    [[4096, 1536], [1536, 151936]]  
                         aten::_flash_attention_forward         0.07%     215.225us         0.30%     877.407us      31.336us      26.571ms         9.37%      26.571ms     948.977us           0 B           0 B     341.28 MB           0 B            28  [[1, 4096, 12, 128], [1, 4096, 2, 128], [1, 4096, 2, 128], [], [], [], [], [], [  
void pytorch_flash::flash_fwd_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      26.571ms         9.37%      26.571ms     948.977us           0 B           0 B           0 B           0 B            28                                                                                []  
                                              aten::mul         0.05%     142.654us         0.45%       1.294ms      46.211us      13.027ms         4.59%      13.486ms     481.635us           0 B           0 B       1.91 GB       1.91 GB            28                                                [[1, 4096, 8960], [1, 4096, 8960]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.027ms         4.59%      13.027ms     465.240us           0 B           0 B           0 B           0 B            28                                                                                []  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us      12.250ms         4.32%      12.250ms     145.838us           0 B           0 B           0 B           0 B            84                                                                                []  
                                    Command Buffer Full         6.09%      17.558ms         6.09%      17.558ms     365.794us      10.409ms         3.67%      10.409ms     216.858us           0 B           0 B           0 B           0 B            48                                                                                []  
                                               aten::mm         0.13%     377.659us         0.24%     691.481us      24.696us       9.155ms         3.23%       9.155ms     326.973us           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 1536], [1536, 1536]]  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.155ms         3.23%       9.155ms     326.973us           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::addmm         0.18%     506.162us         0.36%       1.051ms      37.548us       8.915ms         3.14%       9.551ms     341.099us           0 B           0 B     336.00 MB     336.00 MB            28                                      [[1536], [4096, 1536], [1536, 1536], [], []]  
                                             aten::silu         0.05%     144.712us         0.32%     910.267us      32.510us       8.332ms         2.94%       8.920ms     318.576us           0 B           0 B       1.91 GB       1.91 GB            28                                                                 [[1, 4096, 8960]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.332ms         2.94%       8.332ms     297.581us           0 B           0 B           0 B           0 B            28                                                                                []  
                                              aten::mul         0.08%     240.488us         0.48%       1.398ms      24.525us       5.132ms         1.81%       5.309ms      93.133us           0 B           0 B       1.34 GB       1.34 GB            57                                                   [[1, 4096, 1536], [1, 4096, 1]]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.132ms         1.81%       5.132ms      90.027us           0 B           0 B           0 B           0 B            57                                                                                []  
                                            aten::copy_         0.12%     356.276us         1.04%       2.988ms      26.214us       5.005ms         1.76%       5.144ms      45.120us           0 B           0 B           0 B           0 B           114                                            [[1, 4096, 1536], [1, 4096, 1536], []]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.747ms         1.67%       4.747ms      28.086us           0 B           0 B           0 B           0 B           169                                                                                []  
                                              aten::pow         0.13%     372.098us         0.45%       1.284ms      22.520us       3.985ms         1.40%       4.056ms      71.166us           0 B           0 B       1.34 GB       1.34 GB            57                                                             [[1, 4096, 1536], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.985ms         1.40%       3.985ms      69.905us           0 B           0 B           0 B           0 B            57                                                                                []  
                                              aten::add         0.10%     274.685us         0.27%     775.537us      13.849us       3.425ms         1.21%       3.533ms      63.094us           0 B           0 B     672.00 MB     672.00 MB            56                                            [[1, 4096, 1536], [1, 4096, 1536], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.425ms         1.21%       3.425ms      61.152us           0 B           0 B           0 B           0 B            56                                                                                []  
                                            aten::addmm         0.20%     577.840us         0.51%       1.465ms      26.153us       3.397ms         1.20%       3.638ms      64.962us           0 B           0 B     112.00 MB     112.00 MB            56                                        [[256], [4096, 1536], [1536, 256], [], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.926ms         1.03%       2.926ms      49.598us           0 B           0 B           0 B           0 B            59                                                                                []  
                                              aten::cat         0.18%     508.301us         0.49%       1.416ms      12.529us       2.791ms         0.98%       2.938ms      25.998us           0 B           0 B     506.00 MB     506.00 MB           113                                                                          [[], []]  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       2.784ms         0.98%       2.784ms      24.856us           0 B           0 B           0 B           0 B           112                                                                                []  
                                              aten::mul         0.11%     315.031us         0.34%     977.862us      17.462us       2.560ms         0.90%       2.688ms      47.997us           0 B           0 B     672.00 MB     672.00 MB            56                                           [[1, 12, 4096, 128], [1, 1, 4096, 128]]  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.085ms         0.74%       2.085ms      35.957us           0 B           0 B           0 B           0 B            58                                                                                []  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.886ms         0.66%       1.886ms      33.677us           0 B           0 B           0 B           0 B            56                                                                                []  
                                              aten::add         0.05%     157.812us         0.33%     946.599us      33.807us       1.714ms         0.60%       1.821ms      65.045us           0 B           0 B     336.00 MB     336.00 MB            28                                      [[1, 12, 4096, 128], [1, 12, 4096, 128], []]  
                                              aten::mul         0.08%     225.575us         2.25%       6.493ms     113.908us       1.573ms         0.55%       1.709ms      29.984us           0 B           0 B     684.00 MB     684.00 MB            57                                                         [[1536], [1, 4096, 1536]]  
                                             aten::mean         0.13%     363.018us         1.53%       4.398ms      77.162us       1.106ms         0.39%       1.145ms      20.085us           0 B           0 B     912.00 KB     912.00 KB            57                                                     [[1, 4096, 1536], [], [], []]  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.106ms         0.39%       1.106ms      19.400us           0 B           0 B           0 B           0 B            57                                                                                []  
                                              aten::mul         0.07%     196.405us         0.22%     648.202us      11.575us     613.945us         0.22%     629.562us      11.242us           0 B           0 B     112.00 MB     112.00 MB            56                                            [[1, 2, 4096, 128], [1, 1, 4096, 128]]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     436.211us         0.15%     436.211us       7.789us           0 B           0 B           0 B           0 B            56                                                                                []  
                                              aten::neg         0.05%     133.002us         0.13%     376.447us      13.445us     347.503us         0.12%     372.335us      13.298us           0 B           0 B     168.00 MB     168.00 MB            28                                                               [[1, 12, 4096, 64]]  
                                              aten::add         0.03%      95.531us         0.13%     362.395us      12.943us     171.556us         0.06%     183.813us       6.565us           0 B           0 B      56.00 MB      56.00 MB            28                                        [[1, 2, 4096, 128], [1, 2, 4096, 128], []]  
                                              aten::neg         0.04%     124.132us         0.13%     374.896us      13.389us      88.708us         0.03%      95.077us       3.396us           0 B           0 B      28.00 MB      28.00 MB            28                                                                [[1, 2, 4096, 64]]  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      85.252us         0.03%      85.252us       0.761us           0 B           0 B           0 B           0 B           112                                                                                []  
                                            aten::rsqrt         0.07%     199.224us         1.48%       4.277ms      75.034us      54.658us         0.02%      56.547us       0.992us           0 B           0 B     912.00 KB     912.00 KB            57                                                                    [[1, 4096, 1]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.658us         0.02%      54.658us       0.959us           0 B           0 B           0 B           0 B            57                                                                                []  
                                              aten::add         0.09%     247.744us         0.40%       1.152ms      20.205us      53.285us         0.02%      55.142us       0.967us           0 B           0 B     912.00 KB     912.00 KB            57                                                            [[1, 4096, 1], [], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.285us         0.02%      53.285us       0.935us           0 B           0 B           0 B           0 B            57                                                                                []  
                                           aten::gather         0.02%      47.720us         0.05%     152.893us     152.893us      13.441us         0.00%      26.882us      26.882us           0 B           0 B           0 B           0 B             1                              [[151936, 1536], [], [4096, 1536], [], [4096, 1536]]  
                                Activity Buffer Request         0.02%      63.022us         0.02%      63.022us      63.022us      13.441us         0.00%      13.441us      13.441us           0 B           0 B           0 B           0 B             1                                                                                []  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      13.441us         0.00%      13.441us      13.441us           0 B           0 B           0 B           0 B             1                                                                                []  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       7.520us         0.00%       7.520us       7.520us           0 B           0 B           0 B           0 B             1                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 288.262ms
Self CUDA time total: 283.623ms
