-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                      prefill_4096_math         0.00%       0.000us         0.00%       0.000us       0.000us     957.197ms       103.32%     957.197ms     957.197ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                             aten::add_         0.02%     175.612us         0.05%     483.814us      17.279us     145.383ms        15.69%     145.383ms       5.192ms           0 B           0 B           0 B           0 B            28                                           [[1, 12, 4096, 4096], [4096, 4096], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     145.383ms        15.69%     145.383ms       5.192ms           0 B           0 B           0 B           0 B            28                                                                                []  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     135.081ms        14.58%     135.081ms       2.370ms           0 B           0 B           0 B           0 B            57                                                                                []  
                                    Command Buffer Full        37.45%     359.473ms        37.45%     359.473ms     841.857us     133.802ms        14.44%     133.802ms     313.353us           0 B           0 B           0 B           0 B           427                                                                                []  
                                               aten::mm         0.10%     984.584us         0.18%       1.748ms      31.206us     104.478ms        11.28%     108.248ms       1.933ms           0 B           0 B       3.83 GB       3.83 GB            56                                                      [[4096, 1536], [1536, 8960]]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     100.638ms        10.86%     100.638ms       1.797ms           0 B           0 B           0 B           0 B            56                                                                                []  
                                         aten::_softmax         0.02%     180.523us         0.74%       7.139ms     254.975us      98.373ms        10.62%     140.166ms       5.006ms           0 B           0 B      21.00 GB      21.00 GB            28                                                     [[1, 12, 4096, 4096], [], []]  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      98.373ms        10.62%      98.373ms       3.513ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::where         0.01%     127.083us         0.07%     716.637us      25.594us      96.030ms        10.37%     126.841ms       4.530ms           0 B           0 B           0 B           0 B            28                  [[1, 12, 4096, 1], [], [1, 12, 4096, 4096], [1, 12, 4096, 4096]]  
                                              aten::bmm         0.06%     545.792us         0.40%       3.844ms     137.278us      80.444ms         8.68%      80.444ms       2.873ms           0 B           0 B      21.00 GB      21.00 GB            28                                                [[12, 4096, 128], [12, 128, 4096]]  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      80.444ms         8.68%      80.444ms       2.873ms           0 B           0 B           0 B           0 B            28                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      77.284ms         8.34%      77.284ms     672.034us           0 B           0 B           0 B           0 B           115                                                                                []  
                                              aten::bmm         0.04%     355.388us         0.07%     665.931us      23.783us      76.638ms         8.27%      76.638ms       2.737ms           0 B           0 B     672.00 MB     672.00 MB            28                                               [[12, 4096, 4096], [12, 4096, 128]]  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      76.638ms         8.27%      76.638ms       2.737ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::copy_         0.01%     106.642us         0.09%     834.256us      29.795us      72.767ms         7.85%     101.329ms       3.619ms           0 B           0 B           0 B           0 B            28                                    [[1, 12, 4096, 4096], [1, 12, 4096, 4096], []]  
                                         aten::isneginf         0.02%     191.853us         0.22%       2.138ms      76.355us      61.300ms         6.62%      61.300ms       2.189ms           0 B           0 B       5.25 GB       5.25 GB            28                                                             [[1, 12, 4096, 4096]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      61.300ms         6.62%      61.300ms       2.189ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.04%     402.416us         0.11%       1.036ms      37.012us      52.556ms         5.67%      52.556ms       1.877ms           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 8960], [8960, 1536]]  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      52.535ms         5.67%      52.535ms       1.876ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.01%      61.511us         0.65%       6.254ms       6.254ms      30.603ms         3.30%      30.603ms      30.603ms           0 B           0 B       1.16 GB       1.16 GB             1                                                    [[4096, 1536], [1536, 151936]]  
                                              aten::mul         0.02%     178.863us         0.12%       1.137ms      40.608us      12.882ms         1.39%      16.090ms     574.648us           0 B           0 B       1.91 GB       1.91 GB            28                                                [[1, 4096, 8960], [1, 4096, 8960]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.882ms         1.39%      12.882ms     460.081us           0 B           0 B           0 B           0 B            28                                                                                []  
                                              aten::all         0.03%     272.156us         0.08%     803.748us      28.705us      12.651ms         1.37%      16.688ms     595.991us           0 B           0 B       1.31 MB       1.31 MB            28                                                     [[1, 12, 4096, 4096], [], []]  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      12.651ms         1.37%      12.651ms     451.809us           0 B           0 B           0 B           0 B            28                                                                                []  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us      12.384ms         1.34%      12.384ms     147.424us           0 B           0 B           0 B           0 B            84                                                                                []  
                                               aten::mm         0.05%     490.372us         0.10%     998.161us      35.649us       9.262ms         1.00%      10.922ms     390.066us           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 1536], [1536, 1536]]  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.262ms         1.00%       9.262ms     330.797us           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::addmm         0.08%     741.161us         4.32%      41.433ms       1.480ms       9.017ms         0.97%      12.876ms     459.851us           0 B           0 B     336.00 MB     336.00 MB            28                                      [[1536], [4096, 1536], [1536, 1536], [], []]  
                                             aten::silu         0.02%     206.723us         0.08%     746.829us      26.672us       8.242ms         0.89%       9.415ms     336.233us           0 B           0 B       1.91 GB       1.91 GB            28                                                                 [[1, 4096, 8960]]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.242ms         0.89%       8.242ms     294.355us           0 B           0 B           0 B           0 B            28                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.693ms         0.61%       5.693ms      98.158us           0 B           0 B           0 B           0 B            58                                                                                []  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.294ms         0.57%       5.294ms      37.278us           0 B           0 B           0 B           0 B           142                                                                                []  
                                              aten::mul         0.04%     386.984us         4.40%      42.264ms     741.466us       5.125ms         0.55%       6.193ms     108.643us           0 B           0 B       1.34 GB       1.34 GB            57                                                   [[1, 4096, 1536], [1, 4096, 1]]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.125ms         0.55%       5.125ms      89.909us           0 B           0 B           0 B           0 B            57                                                                                []  
                                            aten::copy_         0.06%     543.541us         3.08%      29.610ms     259.734us       4.996ms         0.54%       6.297ms      55.239us           0 B           0 B           0 B           0 B           114                                            [[1, 4096, 1536], [1, 4096, 1536], []]  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.778ms         0.52%       4.778ms      28.272us           0 B           0 B           0 B           0 B           169                                                                                []  
                                            aten::where         0.04%     376.709us         0.28%       2.658ms      47.471us       4.608ms         0.50%       9.241ms     165.016us           0 B           0 B       3.50 GB     -14.00 KB            56                                                            [[4096, 4096], [], []]  
                                              aten::pow         0.05%     494.844us         0.19%       1.826ms      32.030us       3.962ms         0.43%       4.802ms      84.244us           0 B           0 B       1.34 GB       1.34 GB            57                                                             [[1, 4096, 1536], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.962ms         0.43%       3.962ms      69.507us           0 B           0 B           0 B           0 B            57                                                                                []  
                                            aten::copy_         0.03%     267.618us         2.36%      22.678ms     404.972us       3.931ms         0.42%       5.448ms      97.282us           0 B           0 B           0 B           0 B            56                                      [[1, 12, 4096, 128], [1, 12, 4096, 128], []]  
                                             aten::tril         0.02%     192.852us         0.10%     946.848us      33.816us       3.665ms         0.40%       5.235ms     186.958us           0 B           0 B     448.00 MB     448.00 MB            28                                                                [[4096, 4096], []]  
void at::native::triu_tril_kernel<bool, int, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.665ms         0.40%       3.665ms     130.882us           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::addmm         0.11%       1.074ms         6.80%      65.319ms       1.166ms       3.438ms         0.37%       5.089ms      90.873us           0 B           0 B     112.00 MB     112.00 MB            56                                        [[256], [4096, 1536], [1536, 256], [], []]  
                                            aten::copy_         0.03%     244.531us         0.10%     967.975us      17.285us       3.309ms         0.36%       3.554ms      63.470us           0 B           0 B           0 B           0 B            56                                  [[1, 2, 6, 4096, 128], [1, 2, 6, 4096, 128], []]  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.309ms         0.36%       3.309ms      59.082us           0 B           0 B           0 B           0 B            56                                                                                []  
                                              aten::add         0.04%     366.411us         0.20%       1.902ms      33.969us       3.261ms         0.35%       3.909ms      69.811us           0 B           0 B     672.00 MB     672.00 MB            56                                            [[1, 4096, 1536], [1, 4096, 1536], []]  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.261ms         0.35%       3.261ms      58.234us           0 B           0 B           0 B           0 B            56                                                                                []  
                                              aten::mul         0.03%     306.923us         0.10%     981.126us      35.040us       3.029ms         0.33%       3.903ms     139.410us           0 B           0 B     672.00 MB     672.00 MB            28                                                          [[1, 12, 128, 4096], []]  
                                              aten::cat         0.09%     831.961us         2.85%      27.378ms     242.285us       2.792ms         0.30%       3.754ms      33.220us           0 B           0 B     506.00 MB     506.00 MB           113                                                                          [[], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 959.976ms
Self CUDA time total: 926.398ms
