-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                           prefill_4096         0.00%       0.000us         0.00%       0.000us       0.000us     966.218ms       103.60%     966.218ms     966.218ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                             aten::add_         0.02%     239.100us         0.06%     567.500us      20.268us     145.377ms        15.59%     145.377ms       5.192ms           0 B           0 B           0 B           0 B            28                                           [[1, 12, 4096, 4096], [4096, 4096], []]  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     145.377ms        15.59%     145.377ms       5.192ms           0 B           0 B           0 B           0 B            28                                                                                []  
_ZN7cutlass7Kernel2I66cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     137.312ms        14.72%     137.312ms       2.409ms           0 B           0 B           0 B           0 B            57                                                                                []  
                                               aten::mm         0.13%       1.249ms         0.21%       2.037ms      36.366us     106.405ms        11.41%     106.405ms       1.900ms           0 B           0 B       3.83 GB       3.83 GB            56                                                      [[4096, 1536], [1536, 8960]]  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     100.655ms        10.79%     100.655ms       1.797ms           0 B           0 B           0 B           0 B            56                                                                                []  
                                         aten::_softmax         0.02%     216.000us         0.25%       2.425ms      86.607us      98.372ms        10.55%     102.302ms       3.654ms           0 B           0 B      21.00 GB      21.00 GB            28                                                     [[1, 12, 4096, 4096], [], []]  
_ZN2at6native43_GLOBAL__N__c5dc35cd_10_SoftMax_cu_0a...         0.00%       0.000us         0.00%       0.000us       0.000us      98.372ms        10.55%      98.372ms       3.513ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::where         0.02%     167.400us         0.04%     433.800us      15.493us      96.040ms        10.30%      96.040ms       3.430ms           0 B           0 B           0 B           0 B            28                  [[1, 12, 4096, 1], [], [1, 12, 4096, 4096], [1, 12, 4096, 4096]]  
                                              aten::bmm         0.07%     683.600us         0.26%       2.481ms      88.611us      81.755ms         8.77%      81.755ms       2.920ms           0 B           0 B      21.00 GB      21.00 GB            28                                                [[12, 4096, 128], [12, 128, 4096]]  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      81.755ms         8.77%      81.755ms       2.920ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                              aten::bmm         0.05%     486.100us         0.08%     811.400us      28.979us      77.693ms         8.33%      77.693ms       2.775ms           0 B           0 B     672.00 MB     672.00 MB            28                                               [[12, 4096, 4096], [12, 4096, 128]]  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      77.693ms         8.33%      77.693ms       2.775ms           0 B           0 B           0 B           0 B            28                                                                                []  
_ZN2at6native29vectorized_elementwise_kernelILi4EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us      77.366ms         8.30%      77.366ms     672.747us           0 B           0 B           0 B           0 B           115                                                                                []  
                                            aten::copy_         0.01%     125.500us         0.04%     416.300us      14.868us      72.816ms         7.81%      72.816ms       2.601ms           0 B           0 B           0 B           0 B            28                                    [[1, 12, 4096, 4096], [1, 12, 4096, 4096], []]  
                                         aten::isneginf         0.02%     208.100us         0.13%       1.302ms      46.489us      61.320ms         6.57%      61.320ms       2.190ms           0 B           0 B       5.25 GB       5.25 GB            28                                                             [[1, 12, 4096, 4096]]  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us      61.320ms         6.57%      61.320ms       2.190ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.06%     558.500us         0.14%       1.359ms      48.518us      53.448ms         5.73%      55.521ms       1.983ms           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 8960], [8960, 1536]]  
_ZN7cutlass7Kernel2I66cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      53.427ms         5.73%      53.427ms       1.908ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.01%      85.900us         0.18%       1.725ms       1.725ms      30.907ms         3.31%      30.907ms      30.907ms           0 B           0 B       1.16 GB       1.16 GB             1                                                    [[4096, 1536], [1536, 151936]]  
                                              aten::mul         0.03%     246.500us         0.06%     564.600us      20.164us      12.896ms         1.38%      12.896ms     460.555us           0 B           0 B       1.91 GB       1.91 GB            28                                                [[1, 4096, 8960], [1, 4096, 8960]]  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      12.896ms         1.38%      12.896ms     460.555us           0 B           0 B           0 B           0 B            28                                                                                []  
                                              aten::all         0.03%     265.600us         0.05%     522.300us      18.654us      12.659ms         1.36%      12.659ms     452.118us           0 B           0 B       1.31 MB       1.31 MB            28                                                     [[1, 12, 4096, 4096], [], []]  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us      12.659ms         1.36%      12.659ms     452.118us           0 B           0 B           0 B           0 B            28                                                                                []  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us      12.631ms         1.35%      12.631ms     150.365us           0 B           0 B           0 B           0 B            84                                                                                []  
                                               aten::mm         0.06%     604.500us         0.12%       1.133ms      40.468us       9.428ms         1.01%       9.795ms     349.838us           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 1536], [1536, 1536]]  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.428ms         1.01%       9.428ms     336.724us           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::addmm         0.12%       1.208ms         1.88%      18.166ms     648.800us       9.202ms         0.99%       9.901ms     353.592us           0 B           0 B     336.00 MB     336.00 MB            28                                      [[1536], [4096, 1536], [1536, 1536], [], []]  
                                             aten::silu         0.03%     257.000us         0.06%     592.600us      21.164us       8.235ms         0.88%       8.235ms     294.101us           0 B           0 B       1.91 GB       1.91 GB            28                                                                 [[1, 4096, 8960]]  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us       8.235ms         0.88%       8.235ms     294.101us           0 B           0 B           0 B           0 B            28                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 966.592ms
Self CUDA time total: 932.661ms
