-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                      prefill_4096_sdpa         0.00%       0.000us         0.00%       0.000us       0.000us     955.665ms       103.10%     955.665ms     955.665ms           0 B           0 B           0 B           0 B             1                                                                                []  
                                             aten::add_         0.02%     194.100us         0.05%     457.400us      16.336us     145.411ms        15.69%     145.411ms       5.193ms           0 B           0 B           0 B           0 B            28                                           [[1, 12, 4096, 4096], [4096, 4096], []]  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     145.411ms        15.69%     145.411ms       5.193ms           0 B           0 B           0 B           0 B            28                                                                                []  
_ZN7cutlass7Kernel2I66cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     135.672ms        14.64%     135.672ms       2.380ms           0 B           0 B           0 B           0 B            57                                                                                []  
                                               aten::mm         0.10%     991.200us         0.17%       1.628ms      29.068us     104.852ms        11.31%     104.852ms       1.872ms           0 B           0 B       3.83 GB       3.83 GB            56                                                      [[4096, 1536], [1536, 8960]]  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us     100.484ms        10.84%     100.484ms       1.794ms           0 B           0 B           0 B           0 B            56                                                                                []  
                                         aten::_softmax         0.02%     170.200us         0.22%       2.095ms      74.825us      97.980ms        10.57%      97.980ms       3.499ms           0 B           0 B      21.00 GB      21.00 GB            28                                                     [[1, 12, 4096, 4096], [], []]  
_ZN2at6native43_GLOBAL__N__c5dc35cd_10_SoftMax_cu_0a...         0.00%       0.000us         0.00%       0.000us       0.000us      97.980ms        10.57%      97.980ms       3.499ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::where         0.02%     165.500us         0.04%     381.500us      13.625us      95.860ms        10.34%      95.860ms       3.424ms           0 B           0 B           0 B           0 B            28                  [[1, 12, 4096, 1], [], [1, 12, 4096, 4096], [1, 12, 4096, 4096]]  
                                              aten::bmm         0.05%     500.400us         0.19%       1.771ms      63.257us      80.495ms         8.68%      80.495ms       2.875ms           0 B           0 B      21.00 GB      21.00 GB            28                                                [[12, 4096, 128], [12, 128, 4096]]  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us      80.495ms         8.68%      80.495ms       2.875ms           0 B           0 B           0 B           0 B            28                                                                                []  
_ZN2at6native29vectorized_elementwise_kernelILi4EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us      77.296ms         8.34%      77.296ms     672.140us           0 B           0 B           0 B           0 B           115                                                                                []  
                                              aten::bmm         0.04%     422.700us         0.07%     703.500us      25.125us      76.735ms         8.28%      76.735ms       2.741ms           0 B           0 B     672.00 MB     672.00 MB            28                                               [[12, 4096, 4096], [12, 4096, 128]]  
                                ampere_sgemm_128x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      76.735ms         8.28%      76.735ms       2.741ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::copy_         0.01%     116.700us         0.04%     397.300us      14.189us      72.701ms         7.84%      72.701ms       2.596ms           0 B           0 B           0 B           0 B            28                                    [[1, 12, 4096, 4096], [1, 12, 4096, 4096], []]  
                                         aten::isneginf         0.02%     159.200us         0.04%     380.600us      13.593us      61.197ms         6.60%      61.197ms       2.186ms           0 B           0 B       5.25 GB       5.25 GB            28                                                             [[1, 12, 4096, 4096]]  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us      61.197ms         6.60%      61.197ms       2.186ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.05%     462.100us         0.10%     984.700us      35.168us      52.669ms         5.68%      52.669ms       1.881ms           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 8960], [8960, 1536]]  
_ZN7cutlass7Kernel2I66cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      52.647ms         5.68%      52.647ms       1.880ms           0 B           0 B           0 B           0 B            28                                                                                []  
                                               aten::mm         0.00%      39.800us         0.16%       1.549ms       1.549ms      30.820ms         3.32%      30.820ms      30.820ms           0 B           0 B       1.16 GB       1.16 GB             1                                                    [[4096, 1536], [1536, 151936]]  
                                              aten::mul         0.02%     185.800us         0.04%     402.200us      14.364us      12.914ms         1.39%      12.914ms     461.197us           0 B           0 B       1.91 GB       1.91 GB            28                                                [[1, 4096, 8960], [1, 4096, 8960]]  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      12.914ms         1.39%      12.914ms     461.197us           0 B           0 B           0 B           0 B            28                                                                                []  
                                              aten::all         0.02%     211.400us         0.05%     461.000us      16.464us      12.583ms         1.36%      12.583ms     449.393us           0 B           0 B       1.31 MB       1.31 MB            28                                                     [[1, 12, 4096, 4096], [], []]  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us      12.583ms         1.36%      12.583ms     449.393us           0 B           0 B           0 B           0 B            28                                                                                []  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us      12.382ms         1.34%      12.382ms     147.399us           0 B           0 B           0 B           0 B            84                                                                                []  
                                               aten::mm         0.05%     521.300us         0.10%     987.500us      35.268us       9.290ms         1.00%       9.290ms     331.799us           0 B           0 B     336.00 MB     336.00 MB            28                                                      [[4096, 1536], [1536, 1536]]  
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.290ms         1.00%       9.290ms     331.799us           0 B           0 B           0 B           0 B            28                                                                                []  
                                            aten::addmm         0.09%     840.500us         3.29%      31.478ms       1.124ms       9.019ms         0.97%       9.661ms     345.023us           0 B           0 B     336.00 MB     336.00 MB            28                                      [[1536], [4096, 1536], [1536, 1536], [], []]  
                                             aten::silu         0.02%     206.700us         0.05%     465.900us      16.639us       8.256ms         0.89%       8.256ms     294.855us           0 B           0 B       1.91 GB       1.91 GB            28                                                                 [[1, 4096, 8960]]  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us       8.256ms         0.89%       8.256ms     294.855us           0 B           0 B           0 B           0 B            28                                                                                []  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us       5.743ms         0.62%       5.743ms      99.013us           0 B           0 B           0 B           0 B            58                                                                                []  
_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_23...         0.00%       0.000us         0.00%       0.000us       0.000us       5.306ms         0.57%       5.306ms      37.364us           0 B           0 B           0 B           0 B           142                                                                                []  
                                              aten::mul         0.05%     437.800us         5.35%      51.133ms     897.077us       5.107ms         0.55%       5.464ms      95.859us           0 B           0 B       1.34 GB       1.34 GB            57                                                   [[1, 4096, 1536], [1, 4096, 1]]  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us       5.107ms         0.55%       5.107ms      89.599us           0 B           0 B           0 B           0 B            57                                                                                []  
                                            aten::copy_         0.06%     548.500us         4.65%      44.487ms     390.236us       5.069ms         0.55%       5.223ms      45.816us           0 B           0 B           0 B           0 B           114                                            [[1, 4096, 1536], [1, 4096, 1536], []]  
_ZN2at6native18elementwise_kernelILi128ELi4EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us       4.859ms         0.52%       4.859ms      28.749us           0 B           0 B           0 B           0 B           169                                                                                []  
                                            aten::where         0.05%     469.600us         0.22%       2.096ms      37.436us       4.624ms         0.50%       9.270ms     165.528us           0 B           0 B       3.50 GB     -14.00 KB            56                                                            [[4096, 4096], [], []]  
                                              aten::pow         0.05%     518.300us         0.10%       1.002ms      17.572us       4.005ms         0.43%       4.005ms      70.268us           0 B           0 B       1.34 GB       1.34 GB            57                                                             [[1, 4096, 1536], []]  
_ZN2at6native29vectorized_elementwise_kernelILi4EZNS...         0.00%       0.000us         0.00%       0.000us       0.000us       4.005ms         0.43%       4.005ms      70.268us           0 B           0 B           0 B           0 B            57                                                                                []  
                                            aten::copy_         0.03%     263.100us         3.09%      29.557ms     527.798us       3.928ms         0.42%       4.090ms      73.038us           0 B           0 B           0 B           0 B            56                                      [[1, 12, 4096, 128], [1, 12, 4096, 128], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 956.071ms
Self CUDA time total: 926.971ms
